the
to
a
is
class
of
you
he
but
in
I
his
He
are
very
for
it
was
with
not
that
really
on
at
about
professor
him
so
if
be
students
lectures
an
great
have
material
this
The
as
interesting
had
good
take
can
do
well
Hes
guy
CLASS
hard
His
will
lot
all
Professor
CARING
best
hes
RESPECTED
one
helpful
what
time
Tufts
get
course
teacher
easy
were
my
your
AMAZING
more
or
GIVES
much
help
clear
makes
has
ACCESSIBLE
learn
hours
from
out
always
just
TOUGH
tests
Very
like
up
work
A
which
difficult
Great
because
Prof
LECTURES
than
office
most
nice
dont
HILARIOUS
Ive
ever
SKIP
too
make
lecture
If
does
who
classes
me
This
OUTSIDE
teaching
GET
GOOD
LOTS
also
extremely
FEEDBACK
funny
go
exams
its
know
pretty
questions
no
LECTURE
cares
GRADER
INSPIRATIONAL
lecturer
would
how
YOU
only
boring
reading
WONT
understand
PASS
though
way
when
HEAVY
definitely
by
PARTICIPATION
them
doesnt
recommend
knows
even
made
READ
TO
any
OF
READY
CLEAR
subject
engaging
professors
fun
HOMEWORK
readings
grade
into
wants
amazing
there
never
homework
MATTERS
during
every
things
You
man
papers
did
other
Not
super
youre
fair
grader
little
people
concepts
semester
think
taking
learned
some
sometimes
sure
they
took
willing
stuff
gives
need
awesome
long
notes
assignments
prof
CRITERIA
GRADING
didnt
first
actually
teach
One
everything
going
interested
final
bad
could
teaches
want
writing
often
understanding
youll
outside
over
we
taken
incredibly
through
passionate
GRADED
It
knowledgeable
math
Lectures
bit
Take
i
before
far
better
learning
love
should
us
person
put
being
grades
smart
discussion
Really
grading
clearly
down
student
talk
worth
However
ask
feedback
kind
effort
give
Class
taught
textbook
tough
off
everyone
favorite
own
paper
problem
read
Tests
essays
times
BY
still
FEW
Good
THINGS
feel
major
such
answer
anything
extra
many
There
sense
then
Also
approachable
topics
lots
tries
EXTRA
after
based
experience
explaining
fine
test
end
history
problems
Im
TAs
credit
isnt
knowledge
slides
two
book
job
discussions
each
overall
study
Definitely
Overall
thought
SO
challenging
confusing
dry
entertaining
got
say
style
topic
absolutely
attention
goes
humor
Best
TEST
been
caring
But
brilliant
graded
hilarious
worst
available
follow
week
enjoyed
life
loves
Its
doing
enthusiastic
quite
sets
As
back
enough
physics
wont
Awesome
am
accessible
another
exam
intelligent
seems
those
while
come
cool
highly
loved
succeed
takes
write
care
show
see
something
day
fairly
fast
open
CREDIT
GROUP
few
genuinely
level
matter
question
teachers
went
explains
himself
new
pay
said
seem
tell
Dont
arent
around
cant
disorganized
truly
without
examples
explain
rather
real
science
their
unclear
use
yourself
different
interest
points
try
excellent
felt
find
found
hell
keep
organized
stories
amount
both
gets
jokes
probably
Amazing
And
Would
especially
friendly
impossible
manageable
midterm
our
research
talking
ton
Kritzer
completely
enjoyable
fantastic
nothing
due
making
projects
again
comments
helped
looking
terrible
wonderful
Do
comes
may
possible
thing
usually
having
information
Exams
almost
anyone
content
department
enjoy
part
right
since
someone
Extremely
easily
getting
late
once
project
wasnt
year
Just
harder
helps
might
others
quizzes
review
thats
useful
Dr
MANY
No
PROJECTS
else
essay
field
same
vague
IR
TA
although
courses
either
forward
short
whole
world
yet
English
Id
PAPERS
however
intro
meet
mostly
prepared
away
here
ideas
instead
least
likes
listen
works
Highly
Proctor
While
able
arrogant
easier
look
stay
theory
B
So
encourages
important
labs
participation
passion
point
used
where
In
Lots
Nice
Vesal
excited
less
must
philosophy
says
wish
years
My
Youll
expects
given
half
honestly
last
liked
online
practice
recommended
until
All
Super
basically
entire
expect
expected
high
intimidating
straightforward
why
Although
Comp
EC
Interesting
Intro
That
Took
answers
beyond
enthusiasm
idea
incredible
informative
knew
lab
met
now
participate
school
set
thinking
tufts
weekly
attend
done
ive
keeps
necessary
needs
psych
puts
seemed
specific
three
Excellent
For
Incredibly
What
accent
advisor
asked
big
board
choice
heavy
improve
mandatory
mind
seriously
shows
spend
working
workload
Most
awful
confused
ended
general
knowledgable
minutes
myself
quickly
sessions
unless
waste
Always
college
dedicated
explanations
gave
generally
harsh
horrible
page
powerpoints
tells
Go
Knows
Mark
Sheldon
chemistry
economics
expectations
happy
human
let
means
mistakes
recitation
relevant
somewhat
talks
ways
Honestly
Some
Worst
average
email
emails
group
huge
hw
miss
simply
small
tangents
totally
true
uses
werent
Calc
Easy
Only
Sometimes
Theres
alot
books
comp
crazy
dull
econ
engage
equations
exactly
fascinating
itself
lost
multiple
personal
prepare
ready
second
spent
studying
top
trying
An
French
Makes
VERY
already
art
bc
came
chance
classroom
complete
curve
difficulty
fall
language
music
old
pages
random
reasonable
required
structure
sweet
thoroughly
CS
NOT
PS
Taliaferro
attendance
become
concerned
decent
doable
engaged
flexible
grammar
majors
materials
next
ok
opinions
otherwise
profs
provides
recitations
remember
requirement
seek
unhelpful
useless
wanted
Even
Funny
Has
Make
assignment
challenge
full
hardest
laid
leave
memorize
opinion
past
reason
regret
slow
spends
tends
tricky
Ellmore
Hard
Homework
Readings
We
assigns
avoid
basic
changed
condescending
covered
covers
creative
culture
detail
discuss
early
etc
genius
graduate
helping
hour
large
literally
literature
name
obviously
opportunities
poorly
progress
ridiculously
seminar
skip
straight
trouble
weeks
wrong
Art
At
Denby
Love
Luallen
Physics
Pretty
TAKE
Though
answering
awake
background
except
fact
hand
lets
looked
needed
resources
room
skills
statistics
stats
summer
syllabus
theres
Avoid
Clear
Every
Gives
Joe
Kye
Loved
Math
Pauling
Plus
When
abstract
beginning
behind
complicated
computer
